Title,Singer,Lyric
Little Star,스탠딩 에그,눈을 감고 내가 하는 이야기를 잘 들어봐 나의 얘기가 끝나기 전에 너는 꿈을 꿀거야 Little star tonight 밤새 내가 지켜줄거야 처음 너를 만났을 때 정말 눈이 부셨어 너의 미소를 처음 봤을 땐 세상을 다 가졌어 Little star tonight 밤새 내가 지켜줄거야 내 품에 안긴 채 곤히 잠든 널 보며 나는 잠시도 눈을 뗄 수 없어 이렇게 예쁜데 숨이 멎을 것 같아 내가 어떻게 잠들 수 있겠니 나의 사랑 나의 전부 하늘이 내린 천사 나의 두 눈을 나의 세상을 모두 훔쳐버렸어 Little star tonight 밤새 내가 지켜줄거야 내 품에 안긴 채 곤히 잠든 널 보며 나는 잠시도 눈을 뗄 수 없어 이렇게 예쁜데 숨이 멎을 것 같아 내가 어떻게 잠들 수 있겠니 눈을 감고 내가 하는 이야기를 잘 들어봐 나의 얘기가 끝나기 전에 너는 꿈을 꿀거야 Little star tonight 밤새 내가 지켜줄거야 내 사랑 tonight 밤새 내가 지켜줄거야 평생 내가 지켜줄거야
"그대와 나, 설레임 (Feat. 소울맨)",어쿠스틱 콜라보,나 그대가 너무 좋은데 말하고 싶은데 용기가 안나 나도 그대가 너무 좋은데 말하고 싶은데 용기가 안나 사랑해 말하고 싶은데 이렇게 속만 태우다가 그대가 떠나가 버릴까 늘 바보같이 걱정만 하는 우리 오늘은 떨리는 맘으로 그대 바라보며 고백할게요 나도 오늘은 용기낼래요 그대 바라보며 고백할게요 사랑해 말하고 싶은데 이렇게 속만 태우다가 그대가 떠나가 버릴까 늘 바보같이 걱정만 하는 우리 그대 눈길보면 당황해서 눈을 돌리고 그대 앞에서면 바보같이 얼굴 붉히고 그대를 사랑한다 수없이 연습하고 연습했는데 말도 못하고 사랑해 말하고 싶은데 이렇게 속만 태우다가 그대가 떠나가 버릴까 늘 바보같이 걱정만 하는 우리
가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학,만약이라는 두 글자가 오늘 내 맘을 무너뜨렸어 어쩜 우린 웃으며 다시 만날 수 있어 그렇지 않니 음악을 듣고 책을 읽고 영화를 보고 사람들을 만나고 우습지만 예전엔 미처 하지 못했던 생각도 많이 하게 돼 넌 날 아프게 하는 사람이 아냐 수 없이 많은 나날들 속을 반짝이고 있어 항상 고마웠어 아무도 이해할 수 없는 얘기겠지만 그렇지만 가끔 미치도록 네가 안고 싶어질 때가 있어 너 같은 사람은 너 밖에 없었어 마음 둘 곳이라곤 없는 이 세상 속에  넌 날 아프게 하는 사람이 아냐 수 없이 많은 나날들 속을 반짝이고 있어 항상 고마웠어 아무도 이해할 수 없는 얘기겠지만 그렇지만 가끔 미치도록 네가 안고 싶어질 때가 있어 너 같은 사람은 너 밖에 없었어 마음 둘 곳이라곤 없는 이 세상 속에
고백,델리스파이스,중2때까지 늘 첫째 줄에 겨우 160 이 됐을 무렵 쓸만한 녀석들은 모두 다 이미 첫사랑 진행 중 정말 듣고 싶었던 말이야 물론 2년전 일이지만 기뻐야하는 게 당연한데 내 기분은 그게 아냐 하지만 미안해 이 넓은 가슴에 묻혀 다른 누구를 생각했었어 미안해 너의 손을 잡고 걸을 때에도 떠올렸었어 그 사람을 널 좋아하면 좋아할수록 상처 입은 날들이 더 많아 모두가 즐거운 한 때에도 나는 늘 그곳에 없어 정말 미안한 일을 한걸까 나쁘진 않았었지만 친구인 채 였다면 오히려 즐거웠을 것만 같아 하지만 미안해 네 넓은 가슴에 묻혀 다른 누구를 생각했었어 미안해 너의 손을 잡고 걸을 때에도 떠올랐었어 그 사람이 정말 듣고 싶었던 말이야 물론 2년전 일이지만 기뻐야하는 게 당연한데 내 기분은 그게 아냐 하지만 미안해 네 넓은 가슴에 묻혀 다른 누구를 생각했었어 미안해 너의 손을 잡고 걸을 때에도 떠올렸었어 그 사람을 하지만 미안해 네 넓은 가슴에 묻혀 다른 누구를 생각했었어 미안해 너의 손을 잡고 걸을 때에도 떠올랐었어 그 사람이
와리가리,혁오 (HYUKOH),그런 슬픈 말을 하지 마요 아마 그럴 줄은 알았는데 이젠 좀 잔잔하다 했었는데 뒤도 돌아보지 않아 그런 마음을 낮추지 마요 저기 다가온다 기대했는데 또 한 편 언젠가는 떠나갈걸 이젠 슬쩍 봐도 알아 And we play comes and goes cause we did this when we were child before and we play comes and goes cause big boys still play the game all the time 다 쓴 야광별을 떼어냈죠 옅은 빛을 살피고 있으면 내일이 그리 기다려졌는데 이젠 그렇지도 않아 어렸을 때 몰래 훔쳐봤던 아빠의 수첩 같은 일기장엔 오늘의 걱정이 적혀있던 게 이제야 생각나네 And we play comes and goes cause we did this when we were child before and we play comes and goes cause big boys still play the game all the time 익숙하니 또 무뎌지네요 흘러간 장면이 펼쳐지네요 다시 그 순간을 마주한대도 그땐 또 지금 같진 않겠지 And we play comes and goes cause we did this when we were child before and we play comes and goes cause big boys still play the game all the time Familiarity is a common sense I feel like I’m not here anymore 그냥 다들 안고선 살고 있더라고 다들 그렇게들 떠나나요 이미 저 너머 멀리에 가있네 여기에는 아무도 안 올 테니 그냥 집으로 돌아갈래
고백,뜨거운 감자,달이 차고 내 마음도 차고 이대로 담아 두기엔 너무 안타까워 너를 향해 가는데 달은 내게 오라 손짓하고 귓속에 얘길 하네 지금 이 순간이 바로 그 순간이야 제일 마음에 드는 옷을 입고 노란 꽃 한 송이를 손에 들고 널 바라 보다 그만 나도 모르게 웃어버렸네 이게 아닌데 내 마음은 이게 아닌데 널 위해 준비한 오백 가지 멋진 말이 남았는데 사랑한다는 그 흔한 말이 아니야 그 보단 더욱더 로맨틱하고 달콤한 말을 준비했단 말야 숨이 차고 밤 공기도 차고 두 눈을 감아야만 네 모습이 보여 걸을 수가 없는데 구름 위를 걷는다는 말이 과장이 아니란 걸 알게 됐어 널 알게 된 후부터 나의 모든 건 다 달라졌어 이게 아닌데 내 마음은 이게 아닌데 널 위해 준비한 오백 가지 멋진 말이 남았는데 사랑한다는 그 흔한 말이 아니야 그 보단 더욱더 로맨틱하고 달콤한 말을 준비했단 말야 나를 봐줘요 내 말을 들어봐 줘요 아무리 생각을 하고 또 해도 믿어지지 않을 만큼 사랑해
"19금
작두 (Feat. 넉살, Huckleberry P)",딥플로우,난 작두 타지 네 박자 위에서 내 무대는 굿판이고 또 그 분이 오셔 정중히 모셔 판을 벌이자고 홍대 바닥에 박수들아 모여 Loyal rumble 의 종을 울려 땡땡 이 곳의 Back packers and ladies 옷 헐렁한 걸뱅이들이 뒤섞여 랩 Gang bang 냄새 풀풀 나 킁킁 That's true true 여기는 공개 진품명품 쇼 I prove prove 난 꿀꿀 대며 신명나게 춤을 출 뿐 다 나가 떨어지는 낙엽 내 Flow 추풍 Blow 후후 오늘 내게 내린 걸신 다 쩝쩝쩝 먹어 치워 이 비트는 내 입가심 나를 보러 빨리 와 접신한 계집들은 교성 지르며 난리 나 이번 굿판도 작두 위는 내 것 이 동네 잔칫상의 메뉴판 다 불가항력으로 메꿔 땀 냄새 나 다 푹 젖어서 푹푹 찌네 어디 창문 좀 열어 줘 지루한 래퍼들은 다 물러서 이제 그 분이 오셔 그 분이 오셔 작두 타타타타 그 분이 오셔 자꾸 하하하 하품 나는 짝퉁 가가가 가짜들은 싹둑 Cut cut cut 싹둑 작두 타타타타 그 분이 오셔 자꾸 하하하 하품 나는 짝퉁 가가가 가짜들은 싹둑 Cut cut cut 싹둑 저 애들을 봐 온 동네 구경이라도 난 듯 내 춤을 구경하네 날이 선 무대 위에 내 정신은 아득 다들 무엇을 원하는지 손을 뻗은 채로 홀린 눈빛 날 보는 너와 내가 본 너는 이미 둘이 아닌 하나일 지도 우린 다들 돈에 씌인 채로 살아 필요한 건 그걸 걷어내는 살풀이 일지도 넉살아 넌 무엇에 눈이 돌아갔냐 난 그저 흥이 좀 과한 놈이 아닐까 몇 년 전에는 또 뻔하게 펜을 굴렸었는데 그건 날 내린 그 분의 뜻이 아닌 것 같아 개새끼들 잡아먹는 야차로 태어났어 난 모습 그대로 몽둥이를 들고 소매를 바짝 올려 붙여 그래 계속 북 쳐 찾지 마라 부처 싹 다 밀어 불도저 상구 형 등짝엔 도깨비들이 춤춰 귀신이 씐 얼굴 작두 위에 악마들이 춤춰 땀 냄새 나 다 푹 젖어서 푹푹 찌네 어디 창문 좀 열어 줘 지루한 래퍼들은 다 물러서 이제 그 분이 오셔 그 분이 오셔 작두 타타타타 그 분이 오셔 자꾸 하하하 하품 나는 짝퉁 가가가 가짜들은 싹둑 Cut cut cut 싹둑 작두 타타타타 그 분이 오셔 자꾸 하하하 하품 나는 짝퉁 가가가 가짜들은 싹둑 Cut cut cut 싹둑 래퍼들 굿판 싹 다 망치는 게 내 악취미 여기엔 날 그대로 빼다 박은 700 Bounce with me 네 눈엔 이게 아직도 공연으로 보이냐 이 신내림을 막기엔 이제 V Hall 도 좁다 내가 뿌리는 물을 성수처럼 받아먹는 걔네들 때문에 난 거의 완전 신이라도 된 기분 나랑 비슷한 무당들이 다섯이나 대기 중 H I L I T E 좆나 쩌는 무대의 기준 난 자의 반 또는 타의 반으로 Hilite 의 Highlight 공연 다음 날 Twit timeline 좀 봤냐 죄다 Hilite 우린 다음 Time 을 망가뜨려 안타까운 상황 네가 암만 잘해봤자 넌 그냥 박사 우린 아인슈타인 Now Take it to the next level 이건 전혀 다른 차원의 해적질 난 Jack Sparrow 전 세계를 상대로 우리가 벌이는 춤사위 관심 없어 연예인 병 걸린 놈들의 Dance Battle 땀 냄새 나 다 푹 젖어서 푹푹 찌네 어디 창문 좀 열어 줘 지루한 래퍼들은 다 물러서 이제 그 분이 오셔 그 분이 오셔 작두 타타타타 그 분이 오셔 자꾸 하하하 하품 나는 짝퉁 가가가 가짜들은 싹둑 Cut cut cut 싹둑 작두 타타타타 그 분이 오셔 자꾸 하하하 하품 나는 짝퉁 가가가 가짜들은 싹둑 Cut cut cut 싹둑
"수고했어, 오늘도",옥상달빛,세상 사람들 모두 정답을 알긴 할까 힘든 일은 왜 한번에 일어날까 나에게 실망한 하루 눈물이 보이기 싫어 의미 없이 밤 하늘만 바라봐 작게 열어둔 문틈 사이로 슬픔 보다 더 큰 외로움이 다가와 더 날 수고했어 오늘도 아무도 너의 슬픔에 관심 없대도 난 늘 응원해 수고했어 오늘도  빛이 있다고 분명 있다고 믿었던 길마저 흐릿해져 점점 더 날 수고했어 오늘도 아무도 너의 슬픔에 관심 없대도 난 늘 응원해 수고했어 수고했어 수고했어 오늘도  수고했어 오늘도 아무도 너의 슬픔에 관심 없대도 난 늘 응원해 수고했어 오늘도
넌 이별 난 아직 (With 한소현 Of 3rd Coast),스탠딩 에그,거짓말 이길 내 귀를 믿지 못해 지금 난이길 혼자서 걷지 못해 너의 말보다 그 눈이 더 차가워 아프지 않을 순간이 오긴 할까 나쁘지 않은 추억은 줬던 걸까 눈빛보다 참기 힘든 그 침묵 어떤 말을 해도 넌 이별 모든 걸 다 줘도 넌 이별 눈물로 애원을 해도 넌 이별 어떤 말을 해도 난 아직 모든걸 다 줘도 난 아직 남은 슬픔마저 베이고도 난 아직  헤어지자는 네 손을 놓지 못해 미안하다는 그 말도 믿지 못해 너의 말보다 그 눈이 더 차가워 사랑한다고 어제도 말했잖아 가지마 제발 이대로 떠나지마 눈빛보다 참기 힘든 그 침묵 어떤 말을 해도 넌 이별 모든걸 다 줘도 넌 이별 눈물로 애원을 해도 넌 이별 어떤 말을 해도 난 아직 모든걸 다 줘도 난 아직 남은 슬픔마저 베이고도 난 아직  어떤 말을 해도 넌 이별 모든걸 다 줘도 넌 이별 눈물로 애원을 해도 넌 이별 어떤 말을 해도 난 아직 모든걸 다 줘도 난 아직 남은 슬픔마저 베이고도 난 아직
부끄럼,멜로망스,쳐다보지 않아도 내 맘은 널 향해 있고 널 바라보길 바라고 쳐다본다 싶으면 혹시나 마주칠까 봐 쳐다보지도 못하고 어딜 보는 걸까 혹시 날 보는 걸까 너도 내 마음과 같은 맘이길 내 몸이 말을 안 들어 마음은 널 좋아한다 하는데 내 눈은 네 눈을 피해 내 몸이 말을 안 들어 마음은 다가가라고 하는데 그렇게 원하지 않던 부끄럼만 생겼네 한 번은 남자 답게 인사해 보고 싶은데 안녕이란 말도 못 꺼내 다른 친구들 앞에서 말 잘하는 수다쟁이 너 앞에 서면 벙어리 어딜 보는 걸까 혹시 날 보는 걸까 너도 내 마음과 같은 맘이길 내 몸이 말을 안 들어 마음은 널 좋아한다 하는데 내 눈은 네 눈을 피해 내 몸이 말을 안 들어 마음은 다가가라고 하는데 그렇게 원하지 않던 부끄럼만 생겼네 어쩌다 마주칠 때면 내 몸은 oh no 내 맘은 want her 너도 내 마음과 같은 맘이길 내 몸이 말을 안 들어 마음은 널 좋아한다 하는데 내 눈은 네 눈을 피해 내 몸이 말을 안 들어 마음은 다가가라는데 부끄럼만 내 몸이 말을 안 들어 마음은 널 좋아한다 하는데 내 눈은 네 눈을 피해 내 몸이 말을 안 들어 마음은 다가가라는데 부끄럼만 나 생겼네
요즘 너 말야 (Album Edit),제이레빗(J Rabbit),요즘 너 말야 참 고민이 많아 어떡해야 할지 모르겠나봐 언제나 함께하던 너의 노래가 이젠 들리지가 않아 사실 넌 말야 참 웃음이 많아 누가 걱정하기 전에 툭툭털고 일어나 해맑은 미소로 날 반겨줄 거잖아 쉬운일은 아닐꺼야 어른이 된다는 건 말야 모두 너와 같은 마음이야 힘을 내보는거야 다시 너로 돌아가 이렇게 희망의 노랠불러 새롭게 널 기다리는 세상을 기대해봐 다시 달려가보는거야 힘이들고 주저앉고 싶을 땐 이렇게 기쁨의 노랠 불러 씩씩하게 언젠가 모든 추억이 될 오늘을 감사해 기억해 힘을 내 my friend  쉬운일은 아닐꺼야 어른이 된다는건말야 모두 너와 같은 마음이야 힘을 내보는거야 다시 너로 돌아가 이렇게 희망의 노랠 불러 새롭게 널 기다리는 세상을 기대해봐 다시 달려가보는거야 힘이들고 주저앉고 싶을 땐 이렇게 기쁨의 노랠 불러 씩씩하게 언젠가 모든 추억이 될 오늘을 감사해 기억해 힘을 내 my friend  널 위한 세상을 기대해 힘이들고 주저앉고 싶을 땐 이렇게 기쁨의 노랠 불러 씩씩하게 언젠가 모든 추억이 될 오늘을 감사해 기억해 힘을 내 my friend
